image_size,grayscale,C,score
16,True,None,0.7929147370648111
16,False,None,0.8030971579021603
32,True,None,0.8258868332588918
32,False,None,0.8302522391217471
64,True,None,0.8346164695926092
64,False,None,0.8414067091374973
